source_session_id,source_csv,activity,label,outer_fold,clip_length_frames,clip_start_row,clip_end_row_exclusive,clip_start_s,clip_end_s,event_start_s,impact_s,event_end_s,pre_event_context_s,requested_post_impact_s,physical_post_impact_s,padding_left_frames,padding_right_frames,valid_frames,annotation_confidence,quality_flags,sampling_rule
falling_20260714_160429_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160429_20hz.csv,fall,3,1,50,23,73,1.15,3.65,1.3,2.9,3.4,0.15000000000000013,0.75,0.75,0,0,50,high,none,impact_plus_1s
falling_20260714_160514_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160514_20hz.csv,fall,3,2,50,17,67,0.85,3.35,1.5,2.6,3.7,0.65,0.75,0.75,0,0,50,high,none,impact_plus_1s
falling_20260714_160558_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160558_20hz.csv,fall,3,3,50,-28,22,-1.4,1.1,0.0,0.35,0.85,1.4,0.75,0.75,28,0,22,medium,event_near_recording_boundary,impact_plus_1s
falling_20260714_160643_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160643_20hz.csv,fall,3,4,50,-13,37,-0.65,1.85,0.6,1.1,1.95,1.25,0.75,0.75,13,0,37,medium,geometry_edge_warning,impact_plus_1s
falling_20260714_160712_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160712_20hz.csv,fall,3,1,50,21,71,1.05,3.55,1.7,2.8,3.9,0.6499999999999999,0.75,0.75,0,0,50,medium,event_near_recording_boundary;geometry_edge_warning,impact_plus_1s
falling_20260714_160746_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160746_20hz.csv,fall,3,2,50,26,76,1.3,3.8,1.95,3.05,4.15,0.6499999999999999,0.75,0.75,0,0,50,medium,geometry_edge_warning,impact_plus_1s
falling_20260714_160910_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160910_20hz.csv,fall,3,3,50,33,83,1.65,4.15,2.9,3.4,4.0,1.25,0.75,0.6499999999999999,0,2,48,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,impact_plus_1s
falling_20260714_161012_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161012_20hz.csv,fall,3,2,50,56,106,2.8,5.3,3.45,4.55,4.65,0.6500000000000004,0.75,0.15000000000000036,0,12,38,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,impact_plus_1s
falling_20260714_161118_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161118_20hz.csv,fall,3,4,50,-14,36,-0.7,1.8,0.55,1.05,1.55,1.25,0.75,0.75,14,0,36,high,none,impact_plus_1s
falling_20260714_161242_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161242_20hz.csv,fall,3,2,50,-8,42,-0.4,2.1,0.15,1.35,1.85,0.55,0.75,0.75,8,0,42,medium,event_near_recording_boundary,impact_plus_1s
falling_20260714_161320_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161320_20hz.csv,fall,3,4,50,32,82,1.6,4.1,2.85,3.35,3.85,1.25,0.75,0.75,0,0,50,medium,geometry_edge_warning,impact_plus_1s
falling_20260714_161412_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161412_20hz.csv,fall,3,3,50,27,77,1.35,3.85,2.6,3.1,3.6,1.25,0.75,0.75,0,0,50,medium,multiple_or_broad_peaks,impact_plus_1s
falling_20260714_161434_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161434_20hz.csv,fall,3,1,50,45,95,2.25,4.75,2.85,4.0,4.5,0.6000000000000001,0.75,0.6500000000000004,0,2,48,medium,event_near_recording_boundary;geometry_edge_warning;weak_height_evidence,impact_plus_1s
falling_20260714_161551_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161551_20hz.csv,fall,3,1,50,27,77,1.35,3.85,2.2,3.1,3.6,0.8500000000000001,0.75,0.75,0,0,50,medium,geometry_edge_warning,impact_plus_1s
falling_20260714_161632_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161632_20hz.csv,fall,3,3,50,10,60,0.5,3.0,1.15,2.25,3.35,0.6499999999999999,0.75,0.75,0,0,50,medium,geometry_edge_warning,impact_plus_1s
falling_20260715_135643_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135643_20hz.csv,fall,3,2,50,20,70,1.0,3.5,2.35,2.75,3.75,1.35,0.75,0.75,0,0,50,medium,geometry_edge_warning,impact_plus_1s
falling_20260715_135656_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135656_20hz.csv,fall,3,3,50,30,80,1.5,4.0,2.15,3.25,4.0,0.6499999999999999,0.75,0.75,0,0,50,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;multiple_or_broad_peaks;weak_height_evidence,impact_plus_1s
falling_20260715_135739_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135739_20hz.csv,fall,3,4,50,25,75,1.25,3.75,2.45,3.0,4.0,1.2000000000000002,0.75,0.75,0,0,50,medium,geometry_edge_warning,impact_plus_1s
falling_20260715_135815_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135815_20hz.csv,fall,3,4,50,34,84,1.7,4.2,2.35,3.45,4.35,0.6500000000000001,0.75,0.75,0,0,50,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,impact_plus_1s
