source_window_file,source_session_id,source_csv,label,event_phase,start_frame,end_frame,window_start_s,window_end_s,annotation_confidence,quality_flags,method_version,exclude_reason
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260714_160712_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160712_20hz.csv,3,fall_event,30,59,1.5,3.0,medium,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260714_160712_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_160712_20hz.csv,3,fall_event,45,74,2.25,3.75,medium,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260714_161012_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161012_20hz.csv,3,fall_event,60,89,3.0,4.5,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260714_161434_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161434_20hz.csv,3,fall_event,45,74,2.25,3.75,medium,event_near_recording_boundary;geometry_edge_warning;weak_height_evidence,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260714_161434_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161434_20hz.csv,3,fall_event,60,89,3.0,4.5,medium,event_near_recording_boundary;geometry_edge_warning;weak_height_evidence,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_135656_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135656_20hz.csv,3,fall_event,30,59,1.5,3.0,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;multiple_or_broad_peaks;weak_height_evidence,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_135656_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135656_20hz.csv,3,fall_event,45,74,2.25,3.75,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;multiple_or_broad_peaks;weak_height_evidence,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_135800_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135800_20hz.csv,3,fall_event,0,29,0.0,1.5,medium,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_135815_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135815_20hz.csv,3,fall_event,45,74,2.25,3.75,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_135901_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135901_20hz.csv,3,fall_event,30,59,1.5,3.0,medium,geometry_edge_warning;weak_height_evidence,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_135901_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135901_20hz.csv,3,fall_event,45,74,2.25,3.75,medium,geometry_edge_warning;weak_height_evidence,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_135901_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135901_20hz.csv,3,fall_event,60,89,3.0,4.5,medium,geometry_edge_warning;weak_height_evidence,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_140033_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140033_20hz.csv,3,fall_event,0,29,0.0,1.5,medium,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_140033_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140033_20hz.csv,3,fall_event,15,44,0.75,2.25,medium,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_140033_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140033_20hz.csv,3,fall_event,30,59,1.5,3.0,medium,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_140205_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140205_20hz.csv,3,fall_event,0,29,0.0,1.5,medium,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_140205_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140205_20hz.csv,3,fall_event,15,44,0.75,2.25,medium,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_140350_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140350_20hz.csv,3,fall_event,15,44,0.75,2.25,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_140350_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140350_20hz.csv,3,fall_event,30,59,1.5,3.0,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_140602_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140602_20hz.csv,3,fall_event,45,74,2.25,3.75,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_140602_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140602_20hz.csv,3,fall_event,60,89,3.0,4.5,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_141607_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141607_20hz.csv,3,fall_event,0,29,0.0,1.5,medium,event_near_recording_boundary;geometry_edge_warning;weak_height_evidence,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_142712_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142712_20hz.csv,3,fall_event,0,29,0.0,1.5,medium,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_142712_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142712_20hz.csv,3,fall_event,15,44,0.75,2.25,medium,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260715_142831_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142831_20hz.csv,3,fall_event,0,29,0.0,1.5,medium,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260717_141015_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141015_20hz.csv,3,fall_event,0,29,0.0,1.5,medium,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260717_141506_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141506_20hz.csv,3,fall_event,0,29,0.0,1.5,medium,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,ambiguous_auto_fall_window
data/windowed_auto_event_exclude_risky_fall_20260731_rebuild01/fall_windows.npz,fall__falling_20260717_141506_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141506_20hz.csv,3,fall_event,15,44,0.75,2.25,medium,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,ambiguous_auto_fall_window
